# Output of 'KaSim' '-i' 'model_level09_kdephos__FREE__.kappa' '-l' '660' '-p' '10' '-o' 'model_level09_kdephos__FREE__.01.out.txt' '-syntax' '3' '--no-log' -seed 948616682
# "uuid" : "445074525"
"[T]","Ltot","freeL","Rtot","RLbonds","pR"
0.,0,0,1000,0,0
10.,0,0,1000,0,1
20.,0,0,1000,0,0
30.,0,0,1000,0,2
40.,0,0,1000,0,0
50.,0,0,1000,0,0
60.,0,0,1000,0,1
70.,0,0,1000,0,3
80.,0,0,1000,0,2
90.,0,0,1000,0,1
100.,0,0,1000,0,1
110.,0,0,1000,0,1
120.,0,0,1000,0,0
130.,0,0,1000,0,1
140.,0,0,1000,0,1
150.,0,0,1000,0,0
160.,0,0,1000,0,2
170.,0,0,1000,0,4
180.,0,0,1000,0,2
190.,0,0,1000,0,1
200.,0,0,1000,0,1
210.,0,0,1000,0,3
220.,0,0,1000,0,0
230.,0,0,1000,0,0
240.,0,0,1000,0,1
250.,0,0,1000,0,3
260.,0,0,1000,0,2
270.,0,0,1000,0,0
280.,0,0,1000,0,1
290.,0,0,1000,0,3
300.,0,0,1000,0,3
310.,0,0,1000,0,0
320.,0,0,1000,0,0
330.,0,0,1000,0,0
340.,0,0,1000,0,3
350.,0,0,1000,0,1
360.,0,0,1000,0,1
370.,0,0,1000,0,0
380.,0,0,1000,0,2
390.,0,0,1000,0,1
400.,0,0,1000,0,1
410.,0,0,1000,0,0
420.,0,0,1000,0,1
430.,0,0,1000,0,3
440.,0,0,1000,0,1
450.,0,0,1000,0,1
460.,0,0,1000,0,2
470.,0,0,1000,0,0
480.,0,0,1000,0,4
490.,0,0,1000,0,6
500.,0,0,1000,0,0
510.,0,0,1000,0,4
520.,0,0,1000,0,1
530.,0,0,1000,0,2
540.,0,0,1000,0,3
550.,0,0,1000,0,1
560.,0,0,1000,0,2
570.,0,0,1000,0,1
580.,0,0,1000,0,1
590.,0,0,1000,0,0
600.,0,0,1000,0,2
610.,12647,12140,1000,507,3
620.,12647,12176,1000,471,4
630.,12647,12151,1000,496,1
640.,12647,12152,1000,495,4
650.,12647,12181,1000,466,3
660.,12647,12188,1000,459,1
